method,run,evaluations,hypervolume,IGD
NSGA-III,6,280,1.1971767443230517,0.06625417077779315
NSGA-III,7,28,1.049876779106185,0.14111558974226696
NSGA-III,7,56,1.100785696431841,0.11007409779471125
NSGA-III,7,84,1.108604666489804,0.10440203845741088
NSGA-III,7,112,1.142660845189975,0.10388711283757927
NSGA-III,7,140,1.1593272461043749,0.08602741134012008
NSGA-III,7,168,1.162292771340371,0.07703013697065383
NSGA-III,7,196,1.1634168276775791,0.07375852395659122
NSGA-III,7,224,1.166327006435796,0.0730728310976879
NSGA-III,7,252,1.1747419590704247,0.06962245721541045
NSGA-III,7,280,1.175298280779899,0.06962245721541045
NSGA-III,8,28,1.13006507218816,0.10479567453849249
NSGA-III,8,56,1.136695477797446,0.09133089669734241
NSGA-III,8,84,1.1568744024730226,0.07622084296567275
NSGA-III,8,112,1.1614033667912844,0.07693308862623562
NSGA-III,8,140,1.1624384663538132,0.07444008972051432
NSGA-III,8,168,1.1659563159692252,0.06896043032666657
NSGA-III,8,196,1.16725784737147,0.06883250046678059
NSGA-III,8,224,1.1710066879607863,0.06548878883576098
NSGA-III,8,252,1.1710066879607863,0.06548878883576098
NSGA-III,8,280,1.1792125792415522,0.061348041641190114
NSGA-III,9,28,1.0325162825585847,0.15155360726387604
NSGA-III,9,56,1.041730131120679,0.1335665160775056
NSGA-III,9,84,1.073380887784814,0.13209046057418122
NSGA-III,9,112,1.0761961728083365,0.13070305056456008
NSGA-III,9,140,1.0803428897565817,0.1280909797325335
NSGA-III,9,168,1.0901583214794166,0.11796488140270238
NSGA-III,9,196,1.0995059876269382,0.11078929672539294
NSGA-III,9,224,1.0995059876269382,0.11078929672539294
NSGA-III,9,252,1.1005245392250174,0.11057508384576466
NSGA-III,9,280,1.1313033141247173,0.10386629355046137
NSGA-III,10,28,1.0808724688975218,0.13155711371063408
NSGA-III,10,56,1.1128048465949414,0.12420778806518525
NSGA-III,10,84,1.114500089419636,0.1223696827680779
NSGA-III,10,112,1.123147546710144,0.09732302524387015
NSGA-III,10,140,1.1239450210129507,0.09688677449999998
NSGA-III,10,168,1.1257547950190405,0.09654023529936703
NSGA-III,10,196,1.1288173346192218,0.09397094606081433
NSGA-III,10,224,1.1293646912279127,0.09161270746815546
NSGA-III,10,252,1.1293646912279127,0.09161270746815546
NSGA-III,10,280,1.1339428029508078,0.09161270746815546
NSGA-III,11,28,1.0614126211356747,0.12817708006439185
NSGA-III,11,56,1.0785530491841686,0.11880170647317921
NSGA-III,11,84,1.0923909767092224,0.10379136079735587
NSGA-III,11,112,1.0982668420398543,0.10552274681318415
NSGA-III,11,140,1.119973280151126,0.09089471453245608
NSGA-III,11,168,1.1205348688362373,0.08943283921055592
NSGA-III,11,196,1.1387703583476454,0.08423887300285779
NSGA-III,11,224,1.1490294608864373,0.08991929105008668
NSGA-III,11,252,1.1497493947839756,0.09338167841338041
NSGA-III,11,280,1.1497919161213723,0.09267085623286568
NSGA-III,12,28,0.8881482033305632,0.16872695389708986
NSGA-III,12,56,1.0733571052293243,0.12746404444460993
NSGA-III,12,84,1.1077063418697213,0.11127679167739861
NSGA-III,12,112,1.110621039867208,0.11125813590156507
NSGA-III,12,140,1.113420112202922,0.10893843494795927
NSGA-III,12,168,1.1192431053847058,0.10083261548370857
NSGA-III,12,196,1.1198258353825072,0.10040690193918121
NSGA-III,12,224,1.1224033101899946,0.09436263997567991
NSGA-III,12,252,1.1230061163375786,0.09421827847552909
NSGA-III,12,280,1.1264231973007672,0.09679074339506313
NSGA-III,13,28,1.0365676222686355,0.1423263957184919
NSGA-III,13,56,1.0861885213013123,0.11061906229124437
NSGA-III,13,84,1.1064144326635064,0.10502993589305763
NSGA-III,13,112,1.1078153104968316,0.09483649387049002
NSGA-III,13,140,1.1104445439700064,0.09211001121486306
NSGA-III,13,168,1.1169743279922086,0.08965978974803683
NSGA-III,13,196,1.1176504494454467,0.09066666737926456
NSGA-III,13,224,1.1188989410778478,0.08965596649759429
NSGA-III,13,252,1.1285620975362518,0.09407583895683282
NSGA-III,13,280,1.12982084050451,0.09203270548456464
NSGA-III,14,28,1.0591528774329435,0.13328094827926654
NSGA-III,14,56,1.0684584759274738,0.12218460658191686
